Fecha,Confirmados,Descartados,Fallecidos,Recuperados,Mujeres,Hombres,Extranjeros,Costarricenses,Adultos,Adultos Mayores,Menores
6/3/2020,1,0,0,0,1,0,1,0,1,0,0
7/3/2020,5,0,0,0,3,2,2,3,4,1,0
8/3/2020,5,0,0,0,3,2,2,3,4,1,0
9/3/2020,9,0,0,0,6,3,3,6,7,2,0
10/3/2020,13,0,0,0,7,6,3,10,9,2,2
11/3/2020,22,118,0,0,14,8,3,19,18,2,2
12/3/2020,23,206,0,0,14,9,3,20,19,2,2
13/3/2020,26,289,0,0,14,12,3,23,21,3,2
14/3/2020,27,415,0,0,15,12,4,23,22,3,2
15/3/2020,35,450,0,0,19,16,5,30,28,3,4
16/3/2020,41,615,0,0,20,21,6,35,32,5,4
17/3/2020,50,720,0,0,24,26,6,44,40,6,4
18/3/2020,69,855,0,0,30,39,6,63,57,7,5
19/3/2020,87,951,1,0,35,52,8,79,73,7,7
20/3/2020,113,1046,2,0,46,67,9,104,97,9,7
21/3/2020,117,1190,2,2,48,69,10,107,100,10,7
22/3/2020,134,1400,2,2,55,79,17,117,113,14,7
23/3/2020,158,1533,2,2,68,90,17,141,135,16,7
24/3/2020,177,1679,2,2,74,103,18,159,154,16,7
25/3/2020,201,1684,2,2,84,117,18,183,177,17,7
26/3/2020,231,2331,2,2,101,130,18,209,204,19,8
27/3/2020,263,2786,2,3,121,142,20,241,233,22,8
28/3/2020,295,2912,2,3,138,157,21,272,263,22,10
29/3/2020,314,3115,2,3,150,164,24,290,280,22,12
30/3/2020,330,3362,2,4,160,170,27,303,293,24,13
31/3/2020,347,3498,2,4,167,180,27,320,309,24,14
1/4/2020,375,3843,2,4,181,194,29,346,337,24,14
2/4/2020,396,3954,2,6,192,204,30,366,356,26,14
3/4/2020,416,4044,2,11,201,215,31,385,373,27,16
4/4/2020,435,4219,2,13,212,223,31,404,392,28,15
5/4/2020,454,4644,2,16,222,232,31,423,411,28,15
6/4/2020,467,4896,2,18,227,240,32,435,422,29,16
7/4/2020,483,5042,2,24,237,246,34,449,437,29,17
8/4/2020,502,5533,3,29,243,259,34,468,455,29,18
9/4/2020,539,5759,3,30,259,280,34,505,492,29,18
10/4/2020,558,5894,3,42,269,289,34,524,508,30,20
11/4/2020,577,6031,3,49,277,300,36,541,526,31,20
12/4/2020,595,6167,3,56,285,310,38,557,542,31,22
13/4/2020,612,6256,3,62,295,317,43,569,557,31,24
14/4/2020,618,6326,3,66,298,320,43,575,562,31,25
15/4/2020,626,6511,4,67,302,324,43,583,570,31,25
16/4/2020,642,6709,4,74,308,334,51,591,583,31,28
17/4/2020,649,6874,4,88,312,337,54,595,588,31,30
